number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,25400000.0,4.0,58.0,5.0,,,1976.0,,совмещенный,
3-комнатная квартира,23500000.0,2.0,55.0,4.0,,,1960.0,,совмещенный,
2-комнатная квартира,39535000.0,12.0,70.7,16.0,Riviera,монолитный,2021.0,2.85,,
3-комнатная квартира,26500000.0,3.0,62.0,4.0,,,1971.0,,совмещенный,
4-комнатная квартира,83460000.0,,128.4,,Grande vie,,2022.0,3,2 с/у и более,
4-комнатная квартира,41830500.0,,105.9,,Rams city,,2023.0,2.7,2 с/у и более,
3-комнатная квартира,63060000.0,,120.0,,Сакура,,2020.0,3.3,2 с/у и более,
1-комнатная квартира,18999999.0,5.0,34.0,5.0,,,1983.0,2.68,раздельный,частично меблирована
3-комнатная квартира,23500000.0,3.0,56.0,5.0,,,1975.0,2.7,раздельный,частично меблирована
5-комнатная квартира,87000000.0,4.0,230.0,5.0,Батыр,,2008.0,3.5,2 с/у и более,полностью меблирована
3-комнатная квартира,23000000.0,3.0,58.5,4.0,,,1963.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,27700000.0,11.0,44.0,12.0,Акварель,монолитный,2017.0,2.74,раздельный,частично меблирована
3-комнатная квартира,71000000.0,8.0,105.0,12.0,Алатау,монолитный,2017.0,,2 с/у и более,
3-комнатная квартира,48000000.0,1.0,120.0,3.0,Хуторок,монолитный,2017.0,3,2 с/у и более,полностью меблирована
2-комнатная квартира,21000000.0,2.0,40.0,3.0,,,1960.0,,совмещенный,полностью меблирована
1-комнатная квартира,15000000.0,5.0,31.0,5.0,,,1977.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,14700000.0,5.0,31.0,5.0,,,1977.0,,совмещенный,полностью меблирована
2-комнатная квартира,57300000.0,8.0,70.0,17.0,4YOU,монолитный,2021.0,2.7,совмещенный,полностью меблирована
3-комнатная квартира,57300000.0,8.0,70.0,17.0,4YOU,монолитный,2021.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,32500000.0,4.0,47.0,10.0,Forum Residence,монолитный,2021.0,,,
2-комнатная квартира,27500000.0,7.0,52.0,10.0,,,2021.0,2.8,,пустая
3-комнатная квартира,26880000.0,2.0,56.0,3.0,,,2021.0,3,,
1-комнатная квартира,17000000.0,5.0,31.0,5.0,,,1981.0,,совмещенный,полностью меблирована
3-комнатная квартира,84110000.0,,129.4,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,41976000.0,,84.8,,Rams city,,2023.0,2.7,2 с/у и более,
2-комнатная квартира,20000000.0,5.0,43.0,5.0,,,1975.0,,совмещенный,
2-комнатная квартира,52000000.0,2.0,66.0,3.0,Mountain Drive,монолитный,2018.0,,совмещенный,полностью меблирована
4-комнатная квартира,83000000.0,2.0,111.0,13.0,Rams luxury,,2019.0,3,2 с/у и более,частично меблирована
3-комнатная квартира,28500000.0,4.0,60.0,4.0,,,1960.0,2.6,совмещенный,полностью меблирована
2-комнатная квартира,51999999.0,1.0,59.0,3.0,Mountain Drive,кирпичный,2018.0,3,совмещенный,полностью меблирована
1-комнатная квартира,18500000.0,5.0,35.0,5.0,,,1987.0,,совмещенный,частично меблирована
1-комнатная квартира,18500000.0,5.0,35.0,5.0,,,1987.0,2.7,совмещенный,
3-комнатная квартира,95000000.0,11.0,100.0,25.0,Mega Tower Almaty,монолитный,2008.0,,,полностью меблирована
3-комнатная квартира,41100000.0,16.0,91.0,16.0,Central Esentai Residence,монолитный,2018.0,2.8,,
3-комнатная квартира,56000000.0,1.0,99.0,16.0,Jazz-квартал,монолитный,2018.0,3,2 с/у и более,пустая
3-комнатная квартира,22500000.0,4.0,58.3,4.0,,,1962.0,,,частично меблирована
3-комнатная квартира,57000000.0,12.0,115.0,25.0,Mega Tower Almaty,монолитный,2008.0,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,43000000.0,1.0,66.0,2.0,Хуторок,кирпичный,2017.0,3,совмещенный,полностью меблирована
1-комнатная квартира,26500000.0,10.0,45.0,12.0,Асыл Тау,монолитный,2015.0,2.7,,частично меблирована
3-комнатная квартира,32400000.0,4.0,72.0,9.0,,,1986.0,2.85,совмещенный,частично меблирована
2-комнатная квартира,40000000.0,2.0,60.0,3.0,Хуторок,монолитный,2017.0,3,совмещенный,полностью меблирована
3-комнатная квартира,30390000.0,2.0,66.0,5.0,,,1985.0,,совмещенный,полностью меблирована
1-комнатная квартира,27000000.0,7.0,39.0,12.0,Акварель,монолитный,2018.0,2.74,совмещенный,частично меблирована
3-комнатная квартира,29000000.0,1.0,63.0,4.0,,,1970.0,,совмещенный,частично меблирована
2-комнатная квартира,40500000.0,10.0,56.0,10.0,Комфорт,монолитный,2017.0,3,совмещенный,частично меблирована
2-комнатная квартира,31000000.0,10.0,60.0,17.0,Гаухартас,монолитный,2009.0,3,совмещенный,
3-комнатная квартира,33800000.0,3.0,65.5,8.0,,,1977.0,2.86,раздельный,пустая
