number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,8000000.0,1.0,24.0,3.0,,,1984,2.7,совмещенный,пустая
2-комнатная квартира,20500000.0,4.0,50.0,5.0,,,2017,,совмещенный,частично меблирована
3-комнатная квартира,32000000.0,1.0,82.0,4.0,,,1980,2.7,совмещенный,частично меблирована
2-комнатная квартира,16500000.0,1.0,48.0,2.0,,,1954,,совмещенный,
2-комнатная квартира,17000000.0,5.0,44.5,5.0,,,1989,2.2,раздельный,частично меблирована
2-комнатная квартира,25000000.0,2.0,61.0,3.0,Nomad City,,2021,3.0,раздельный,пустая
1-комнатная квартира,14500000.0,1.0,33.1,5.0,,,1984,,совмещенный,
3-комнатная квартира,32000000.0,1.0,77.0,1.0,,,2006,2.8,раздельный,частично меблирована
2-комнатная квартира,23000000.0,3.0,64.0,5.0,,,2017,,раздельный,
3-комнатная квартира,26000000.0,2.0,67.0,5.0,,,1991,,раздельный,
2-комнатная квартира,23500000.0,5.0,61.0,6.0,,,2007,,раздельный,
3-комнатная квартира,19300000.0,2.0,66.0,4.0,,,1974,,раздельный,
2-комнатная квартира,15700000.0,3.0,42.0,3.0,,,1969,,совмещенный,
2-комнатная квартира,26500000.0,4.0,65.0,9.0,,,,2.8,раздельный,полностью меблирована
4-комнатная квартира,25000000.0,5.0,80.0,5.0,,,1989,2.75,раздельный,частично меблирована
4-комнатная квартира,25000000.0,3.0,74.1,3.0,,,1986,,раздельный,
3-комнатная квартира,20000000.0,1.0,70.0,2.0,,,,2.8,совмещенный,частично меблирована
3-комнатная квартира,21000000.0,1.0,68.2,3.0,,,1985,2.7,раздельный,частично меблирована
2-комнатная квартира,18000000.0,1.0,46.0,4.0,,,1970,2.7,совмещенный,
1-комнатная квартира,15000000.0,4.0,33.6,5.0,,,1985,2.8,совмещенный,частично меблирована
3-комнатная квартира,29999900.0,6.0,82.0,9.0,,,2017,,,частично меблирована
2-комнатная квартира,29400000.0,3.0,72.0,3.0,Nomad City,монолитный,2017,3.0,,частично меблирована
3-комнатная квартира,30800000.0,8.0,68.0,9.0,PARASAT,монолитный,2017,,раздельный,частично меблирована
3-комнатная квартира,26300000.0,6.0,77.0,9.0,,,2016,,раздельный,частично меблирована
2-комнатная квартира,13000000.0,3.0,40.0,3.0,,,1963,,,
1-комнатная квартира,15000000.0,4.0,34.1,5.0,,,1990,2.5,совмещенный,частично меблирована
1-комнатная квартира,5600000.0,1.0,20.0,5.0,,,,3.0,раздельный,пустая
2-комнатная квартира,13900000.0,1.0,43.0,2.0,,,,2.7,раздельный,
