number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,10300000.0,2.0,28.0,10.0,,,2016,,совмещенный,пустая
1-комнатная квартира,16000000.0,8.0,44.0,9.0,Шугыла,монолитный,2016,2.7,совмещенный,частично меблирована
1-комнатная квартира,16500000.0,7.0,41.0,10.0,Alma City,монолитный,2017,,совмещенный,пустая
2-комнатная квартира,17970798.0,7.0,61.0,9.0,Nurly Dala,монолитный,2021,2.7,совмещенный,пустая
2-комнатная квартира,23500000.0,9.0,61.0,10.0,,,2020,2.7,совмещенный,полностью меблирована
4-комнатная квартира,85000000.0,8.0,157.0,9.0,Аль-Фараби,монолитный,2008,,2 с/у и более,
1-комнатная квартира,6500000.0,4.0,13.0,5.0,,,1983,2.5,раздельный,пустая
1-комнатная квартира,13000000.0,1.0,51.8,9.0,Alma City,,2022,,,
3-комнатная квартира,27700000.0,2.0,78.0,2.0,,,2015,,раздельный,пустая
2-комнатная квартира,19000000.0,9.0,57.0,10.0,Alma City,монолитный,2021,,,
4-комнатная квартира,55500000.0,5.0,130.0,10.0,Хан-Тенгри,монолитный,2011,,2 с/у и более,частично меблирована
1-комнатная квартира,14500000.0,7.0,47.0,10.0,,,2016,,совмещенный,пустая
1-комнатная квартира,9500000.0,1.0,24.0,3.0,,,2013,2.75,,частично меблирована
2-комнатная квартира,27000000.0,9.0,63.0,9.0,,,2019,2.8,раздельный,
2-комнатная квартира,27500000.0,2.0,45.0,10.0,Хан-Тенгри,монолитный,2013,2.7,совмещенный,полностью меблирована
2-комнатная квартира,21600000.0,2.0,50.0,3.0,,,1985,2.5,раздельный,частично меблирована
2-комнатная квартира,19500000.0,1.0,60.0,9.0,,,2016,,,
3-комнатная квартира,41000000.0,9.0,84.0,10.0,Хан-Тенгри,монолитный,2011,2.9,2 с/у и более,частично меблирована
2-комнатная квартира,18500000.0,10.0,48.0,10.0,Alma City,монолитный,2019,2.8,совмещенный,
2-комнатная квартира,28000000.0,16.0,108.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1-комнатная квартира,25000000.0,12.0,74.0,14.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1-комнатная квартира,10100000.0,9.0,28.0,10.0,,,2017,,совмещенный,
3-комнатная квартира,31000000.0,3.0,82.0,10.0,Alma City,монолитный,2019,,совмещенный,
1-комнатная квартира,5000000.0,4.0,19.0,5.0,,,1983,2.8,раздельный,пустая
3-комнатная квартира,75000000.0,2.0,138.0,9.0,Аль-Фараби,панельный,2007,3.0,совмещенный,полностью меблирована
4-комнатная квартира,116000000.0,1.0,195.0,5.0,,,2004,2.8,2 с/у и более,
2-комнатная квартира,33000000.0,9.0,63.3,10.0,Хан-Тенгри,монолитный,2011,,совмещенный,пустая
1-комнатная квартира,18000000.0,2.0,57.1,16.0,Премьера,монолитный,2013,2.8,совмещенный,
