number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,22500000.0,7.0,65.0,9.0,,,2000.0,,раздельный,частично меблирована
2-комнатная квартира,23500000.0,1.0,43.0,5.0,,,1979.0,,совмещенный,
5-комнатная квартира,128000000.0,5.0,189.0,6.0,Изумрудный город,кирпичный,2006.0,,2 с/у и более,частично меблирована
2-комнатная квартира,57000000.0,2.0,73.0,8.0,Престиж Алатау,монолитный,2018.0,3.0,2 с/у и более,
1-комнатная квартира,18500000.0,3.0,42.0,5.0,,,1993.0,,,
2-комнатная квартира,31000000.0,8.0,60.4,9.0,,,1985.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,36537600.0,,86.5,,Nomad 2,,,2.7,совмещенный,
3-комнатная квартира,33500000.0,3.0,96.67,13.0,12 месяцев,монолитный,2021.0,,2 с/у и более,
2-комнатная квартира,27000000.0,3.0,64.0,13.0,12 месяцев,панельный,2020.0,2.8,,
2-комнатная квартира,30500000.0,11.0,62.4,13.0,Nomad,монолитный,2021.0,2.7,,
4-комнатная квартира,35000000.0,1.0,77.4,5.0,,панельный,1983.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,28600000.0,13.0,64.0,21.0,Каусар,,2012.0,2.7,,
1-комнатная квартира,17000000.0,1.0,31.0,4.0,,,,2.6,совмещенный,частично меблирована
1-комнатная квартира,21500000.0,1.0,39.0,3.0,,,1964.0,,совмещенный,
3-комнатная квартира,31000000.0,3.0,60.0,5.0,,,1977.0,,,
1-комнатная квартира,20000000.0,1.0,35.5,5.0,,,1975.0,,совмещенный,частично меблирована
1-комнатная квартира,23900000.0,4.0,42.0,5.0,,,1970.0,2.7,раздельный,частично меблирована
3-комнатная квартира,38142720.0,,90.3,,Nomad 2,,,2.7,раздельный,
2-комнатная квартира,19500000.0,4.0,43.0,4.0,,,1970.0,2.5,совмещенный,частично меблирована
4-комнатная квартира,41000000.0,2.0,85.0,4.0,,,1972.0,,раздельный,пустая
2-комнатная квартира,34500000.0,4.0,45.0,15.0,Arbat,монолитный,2020.0,3.0,совмещенный,частично меблирована
3-комнатная квартира,65500000.0,21.0,130.0,22.0,Каусар,монолитный,2012.0,2.9,2 с/у и более,полностью меблирована
2-комнатная квартира,35000000.0,11.0,72.0,13.0,Varlamova,монолитный,2020.0,3.0,совмещенный,
