number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,39850000.0,9.0,71.3,9.0,,,,,,
4-комнатная квартира,91000000.0,1.0,154.0,5.0,Ак Бота,монолитный,2008.0,3.0,,
2-комнатная квартира,36400000.0,8.0,86.4,10.0,Ush Qońyr,монолитный,2021.0,2.75,,
2-комнатная квартира,55000000.0,7.0,82.0,22.0,Самал Делюкс,,2011.0,3.0,совмещенный,полностью меблирована
4-комнатная квартира,41700000.0,3.0,130.0,5.0,,,1981.0,,2 с/у и более,частично меблирована
2-комнатная квартира,47000000.0,11.0,79.5,17.0,Терренкур,монолитный,2006.0,2.8,раздельный,пустая
1-комнатная квартира,18500000.0,5.0,41.0,5.0,,,1987.0,,раздельный,пустая
3-комнатная квартира,26000000.0,5.0,62.9,5.0,,,1977.0,,раздельный,полностью меблирована
1-комнатная квартира,26000000.0,4.0,40.0,5.0,,,1985.0,,совмещенный,полностью меблирована
3-комнатная квартира,30000000.0,5.0,60.0,5.0,,,,3.0,раздельный,частично меблирована
3-комнатная квартира,24500000.0,4.0,57.0,4.0,,,,2.7,совмещенный,частично меблирована
1-комнатная квартира,12000000.0,7.0,25.0,9.0,Vostochka.kz,монолитный,2021.0,2.7,совмещенный,полностью меблирована
2-комнатная квартира,47000000.0,4.0,70.0,4.0,,,1974.0,2.7,совмещенный,полностью меблирована
3-комнатная квартира,51000000.0,5.0,87.0,9.0,,,2017.0,,,
3-комнатная квартира,34400000.0,5.0,110.0,5.0,,,2015.0,3.0,2 с/у и более,полностью меблирована
3-комнатная квартира,108000000.0,7.0,200.0,9.0,Пионер,монолитный,2003.0,3.0,2 с/у и более,
3-комнатная квартира,72000000.0,4.0,104.0,21.0,Samal Tower,,2017.0,3.0,2 с/у и более,полностью меблирована
2-комнатная квартира,68000000.0,4.0,100.0,21.0,,,2016.0,3.0,2 с/у и более,полностью меблирована
