number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,14000000.0,2.0,33.0,7.0,Северное кольцо,монолитный,2015.0,2.8,раздельный,
1-комнатная квартира,12500000.0,5.0,29.0,5.0,,,2019.0,,,
2-комнатная квартира,24500000.0,8.0,58.4,12.0,Alatau City,монолитный,2020.0,2.8,раздельный,пустая
2-комнатная квартира,24500000.0,4.0,62.8,5.0,,монолитный,2015.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,18500000.0,2.0,46.0,5.0,,,2019.0,,совмещенный,
1-комнатная квартира,20900000.0,5.0,48.2,9.0,,,2010.0,2.8,совмещенный,пустая
2-комнатная квартира,21000000.0,2.0,63.0,5.0,,монолитный,2017.0,2.7,раздельный,
3-комнатная квартира,34000000.0,2.0,82.0,16.0,,,2015.0,,2 с/у и более,частично меблирована
2-комнатная квартира,24200000.0,1.0,58.0,12.0,,,2018.0,,раздельный,
3-комнатная квартира,34700000.0,11.0,70.4,12.0,,монолитный,2018.0,2.8,раздельный,
1-комнатная квартира,16000000.0,4.0,42.55,13.0,,,,,совмещенный,частично меблирована
1-комнатная квартира,20000000.0,7.0,46.6,9.0,Нуркент,монолитный,2015.0,2.8,совмещенный,
3-комнатная квартира,26000000.0,1.0,76.0,9.0,,,2018.0,3.0,раздельный,частично меблирована
3-комнатная квартира,30000000.0,5.0,75.6,9.0,,,2014.0,3.0,раздельный,частично меблирована
3-комнатная квартира,26000000.0,2.0,75.0,5.0,,,2019.0,,раздельный,
1-комнатная квартира,13500000.0,4.0,31.0,8.0,Северное кольцо,монолитный,2014.0,2.65,совмещенный,пустая
1-комнатная квартира,18000000.0,5.0,39.0,9.0,,,2015.0,,совмещенный,
2-комнатная квартира,26000000.0,1.0,65.0,9.0,,,2014.0,2.8,раздельный,частично меблирована
1-комнатная квартира,19000000.0,9.0,51.4,9.0,,,2011.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,24500000.0,12.0,45.0,12.0,Alatau City,,2020.0,2.7,,частично меблирована
1-комнатная квартира,18000000.0,2.0,45.0,9.0,Аккент,монолитный,2010.0,,совмещенный,
1-комнатная квартира,21000000.0,1.0,38.9,9.0,,,2017.0,,совмещенный,
2-комнатная квартира,28500000.0,4.0,55.8,12.0,Alatau City,монолитный,2018.0,,совмещенный,частично меблирована
1-комнатная квартира,17000000.0,5.0,41.0,9.0,Аккент,монолитный,2012.0,,,
2-комнатная квартира,23000000.0,3.0,63.0,9.0,Аккент,монолитный,2010.0,,,
2-комнатная квартира,25000000.0,5.0,65.0,16.0,Аккент,монолитный,2012.0,,совмещенный,полностью меблирована
3-комнатная квартира,33000000.0,3.0,90.0,9.0,Аккент,монолитный,2012.0,,совмещенный,
2-комнатная квартира,22000000.0,7.0,63.0,9.0,Аккент,монолитный,2012.0,,,
1-комнатная квартира,16500000.0,1.0,45.0,9.0,Аккент,монолитный,2012.0,,совмещенный,
3-комнатная квартира,32000000.0,3.0,90.0,9.0,Аккент,монолитный,2012.0,,2 с/у и более,
2-комнатная квартира,23000000.0,3.0,68.0,16.0,Аккент,монолитный,2010.0,,,
1-комнатная квартира,18000000.0,1.0,45.0,9.0,Аккент,монолитный,2010.0,,,
1-комнатная квартира,15300000.0,1.0,45.0,2.0,,,2017.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,40000000.0,8.0,88.4,10.0,Акниет,монолитный,2018.0,2.8,раздельный,полностью меблирована
1-комнатная квартира,11800000.0,10.0,35.0,9.0,,,2010.0,4.0,совмещенный,
2-комнатная квартира,20251500.0,2.0,58.7,12.0,Alatau City,монолитный,2022.0,,раздельный,
1-комнатная квартира,14500000.0,1.0,36.6,4.0,,,2014.0,2.8,совмещенный,
2-комнатная квартира,22000000.0,2.0,59.0,5.0,,,2012.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,30000000.0,1.0,80.0,3.0,,,,3.0,раздельный,частично меблирована
1-комнатная квартира,19000000.0,11.0,35.3,12.0,Алмалы,монолитный,2018.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,18000000.0,12.0,37.0,13.0,Алмалы,монолитный,2017.0,2.7,совмещенный,пустая
3-комнатная квартира,30000000.0,3.0,65.0,3.0,,,1975.0,2.8,раздельный,
1-комнатная квартира,17000000.0,1.0,45.0,9.0,Аккент,панельный,2015.0,,совмещенный,
1-комнатная квартира,19000000.0,3.0,46.7,10.0,,,2018.0,,совмещенный,
1-комнатная квартира,19000000.0,3.0,46.7,10.0,,,2017.0,2.7,раздельный,частично меблирована
1-комнатная квартира,19000000.0,3.0,47.0,10.0,,,2017.0,,,
1-комнатная квартира,22000000.0,3.0,41.0,10.0,Athletic village,монолитный,2017.0,2.8,совмещенный,
1-комнатная квартира,13000000.0,7.0,34.0,7.0,Северное кольцо,монолитный,2015.0,2.85,совмещенный,частично меблирована
2-комнатная квартира,25500000.0,9.0,69.0,10.0,,,2013.0,2.8,,частично меблирована
1-комнатная квартира,17700000.0,5.0,45.0,5.0,,,2018.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,11500000.0,4.0,30.0,9.0,Аккент,монолитный,2017.0,,совмещенный,пустая
2-комнатная квартира,25200000.0,11.0,58.0,12.0,Алмалы,монолитный,2016.0,2.7,раздельный,
1-комнатная квартира,15000000.0,2.0,37.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
2-комнатная квартира,15300000.0,10.0,45.0,10.0,Аккент,монолитный,2011.0,,совмещенный,полностью меблирована
1-комнатная квартира,15000000.0,6.0,37.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
1-комнатная квартира,14900000.0,10.0,37.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
1-комнатная квартира,14500000.0,2.0,40.0,9.0,,,2015.0,,совмещенный,частично меблирована
2-комнатная квартира,15300000.0,2.0,37.0,2.0,,,1964.0,2.7,совмещенный,полностью меблирована
1-комнатная квартира,17000000.0,6.0,34.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,пустая
1-комнатная квартира,15500000.0,4.0,36.0,5.0,,,2012.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,15300000.0,1.0,41.0,9.0,,,2017.0,,раздельный,частично меблирована
3-комнатная квартира,15500000.0,2.0,31.0,5.0,,,1967.0,,совмещенный,пустая
3-комнатная квартира,14700000.0,1.0,63.0,3.0,,,1989.0,2.9,совмещенный,
3-комнатная квартира,26000000.0,1.0,76.0,5.0,,,2016.0,2.8,раздельный,
1-комнатная квартира,17500000.0,3.0,43.5,5.0,,,,2.7,совмещенный,полностью меблирована
2-комнатная квартира,28000000.0,2.0,67.4,9.0,,,2018.0,3.0,2 с/у и более,частично меблирована
1-комнатная квартира,15000000.0,2.0,45.0,9.0,,,2016.0,2.7,совмещенный,полностью меблирована
2-комнатная квартира,18500000.0,2.0,46.0,2.0,,,1970.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,25800000.0,5.0,58.7,5.0,,,,2.7,раздельный,частично меблирована
3-комнатная квартира,26000000.0,1.0,75.5,5.0,,,2017.0,2.8,2 с/у и более,пустая
2-комнатная квартира,19500000.0,14.0,54.0,15.0,Алмалы,монолитный,2017.0,2.7,2 с/у и более,
1-комнатная квартира,19000000.0,3.0,46.7,10.0,,,2017.0,,,полностью меблирована
3-комнатная квартира,24000000.0,2.0,60.0,5.0,,,2018.0,2.5,раздельный,полностью меблирована
3-комнатная квартира,38500000.0,1.0,88.0,9.0,,,2015.0,2.8,2 с/у и более,частично меблирована
1-комнатная квартира,6500000.0,2.0,19.0,2.0,,,1971.0,2.65,,
2-комнатная квартира,20532000.0,2.0,58.0,6.0,,монолитный,2021.0,2.7,,
1-комнатная квартира,12850200.0,3.0,35.6,6.0,,монолитный,2021.0,2.7,,
2-комнатная квартира,24000000.0,1.0,67.0,5.0,,,2012.0,2.7,раздельный,частично меблирована
2-комнатная квартира,20000000.0,6.0,40.0,9.0,,,2010.0,2.6,совмещенный,частично меблирована
3-комнатная квартира,25000000.0,1.0,75.17,5.0,ЖК в мкр. Саялы,монолитный,2018.0,2.7,раздельный,пустая
1-комнатная квартира,20000000.0,4.0,37.0,12.0,Алмалы,монолитный,2017.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,16500000.0,9.0,34.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
3-комнатная квартира,35000000.0,15.0,84.0,16.0,,,2015.0,3.0,2 с/у и более,полностью меблирована
1-комнатная квартира,19000000.0,3.0,46.7,10.0,,,2018.0,,совмещенный,полностью меблирована
1-комнатная квартира,19000000.0,7.0,40.6,8.0,Alatau Village,монолитный,2015.0,2.5,совмещенный,
1-комнатная квартира,15000000.0,8.0,34.0,12.0,Алмалы,монолитный,2021.0,2.7,совмещенный,пустая
1-комнатная квартира,14000000.0,8.0,44.0,9.0,,,2013.0,,совмещенный,
1-комнатная квартира,20200000.0,5.0,41.0,9.0,,,2013.0,,раздельный,
3-комнатная квартира,38000000.0,6.0,87.0,10.0,,,2012.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,20000000.0,2.0,36.0,2.0,,,1982.0,2.8,,
1-комнатная квартира,16500000.0,9.0,35.0,12.0,Алмалы,монолитный,2018.0,2.7,совмещенный,
3-комнатная квартира,38000000.0,7.0,75.0,14.0,Алмалы,монолитный,2017.0,2.7,2 с/у и более,частично меблирована
3-комнатная квартира,31000000.0,9.0,87.0,10.0,Акбулак,монолитный,2010.0,2.8,раздельный,
1-комнатная квартира,16300000.0,12.0,35.0,13.0,Алмалы,монолитный,2017.0,2.7,совмещенный,пустая
2-комнатная квартира,20000000.0,14.0,53.0,15.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
1-комнатная квартира,14000000.0,12.0,34.0,13.0,Алмалы,монолитный,2017.0,2.7,совмещенный,
1-комнатная квартира,14000000.0,5.0,25.0,10.0,Акниет,монолитный,2019.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,2.0,62.5,9.0,,,2017.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,35500000.0,9.0,93.5,10.0,,,2008.0,2.7,раздельный,
2-комнатная квартира,18500000.0,1.0,54.0,2.0,,,1976.0,2.8,раздельный,частично меблирована
1-комнатная квартира,16800000.0,6.0,37.0,12.0,Алмалы,монолитный,2017.0,2.7,совмещенный,полностью меблирована
2-комнатная квартира,30000000.0,10.0,55.0,14.0,Алмалы,монолитный,2019.0,2.7,раздельный,полностью меблирована
3-комнатная квартира,26000000.0,1.0,70.0,12.0,Alatau City,монолитный,2017.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,24000000.0,2.0,60.0,5.0,,,2018.0,,раздельный,
1-комнатная квартира,15800000.0,7.0,43.0,7.0,,,,3.0,совмещенный,частично меблирована
