index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1528,4-комнатная квартира,2.0,145.0,6.0,MISSING,MISSING,2000.0,2.65,2 с/у и более,MISSING
60,2-комнатная квартира,2.0,45.0,4.0,MISSING,MISSING,1971.0,-999.0,совмещенный,полностью меблирована
5464,1-комнатная квартира,4.0,33.0,5.0,MISSING,MISSING,1987.0,-999.0,MISSING,MISSING
230,3-комнатная квартира,4.0,82.5,7.0,MISSING,MISSING,1974.0,3.0,совмещенный,частично меблирована
665,3-комнатная квартира,5.0,70.4,5.0,MISSING,MISSING,1981.0,3.0,раздельный,частично меблирована
3546,4-комнатная квартира,4.0,90.0,5.0,MISSING,MISSING,1992.0,2.7,раздельный,полностью меблирована
4467,2-комнатная квартира,10.0,54.0,10.0,MISSING,MISSING,2013.0,-999.0,MISSING,MISSING
5110,1-комнатная квартира,3.0,34.0,5.0,MISSING,MISSING,-999.0,2.7,совмещенный,частично меблирована
3711,2-комнатная квартира,7.0,70.0,10.0,Kayra,монолитный,2018.0,2.7,совмещенный,полностью меблирована
3314,2-комнатная квартира,11.0,55.0,18.0,Алтын Булак 2,монолитный,2012.0,2.8,совмещенный,MISSING
5621,2-комнатная квартира,2.0,48.0,12.0,Симфония,монолитный,2017.0,3.0,MISSING,частично меблирована
4863,3-комнатная квартира,1.0,80.0,4.0,MISSING,MISSING,1960.0,-999.0,MISSING,MISSING
2530,1-комнатная квартира,1.0,31.0,5.0,MISSING,MISSING,1972.0,-999.0,совмещенный,частично меблирована
2636,1-комнатная квартира,4.0,11.0,4.0,MISSING,MISSING,1976.0,-999.0,MISSING,полностью меблирована
3868,5-комнатная квартира,21.0,350.0,21.0,Жастар Mag,монолитный,2009.0,3.2,2 с/у и более,полностью меблирована
2664,3-комнатная квартира,15.0,90.0,20.0,Манхеттан (29 квартал),монолитный,2007.0,3.0,2 с/у и более,частично меблирована
528,2-комнатная квартира,5.0,48.0,5.0,MISSING,MISSING,1987.0,-999.0,MISSING,MISSING
3095,2-комнатная квартира,5.0,51.0,5.0,MISSING,MISSING,1984.0,2.0,раздельный,MISSING
2819,1-комнатная квартира,9.0,44.0,13.0,12 месяцев,монолитный,2020.0,-999.0,совмещенный,MISSING
609,3-комнатная квартира,2.0,58.5,5.0,MISSING,MISSING,1984.0,-999.0,раздельный,частично меблирована
2320,3-комнатная квартира,3.0,72.5,4.0,MISSING,MISSING,1963.0,-999.0,MISSING,MISSING
2343,1-комнатная квартира,6.0,42.0,9.0,MISSING,MISSING,1999.0,-999.0,MISSING,MISSING
3762,1-комнатная квартира,4.0,29.6,9.0,River Time,монолитный,2022.0,2.8,совмещенный,пустая
1175,2-комнатная квартира,2.0,52.0,5.0,MISSING,MISSING,1976.0,-999.0,MISSING,MISSING
2072,3-комнатная квартира,11.0,120.0,13.0,MISSING,MISSING,-999.0,3.0,раздельный,частично меблирована
5538,3-комнатная квартира,3.0,57.0,4.0,MISSING,MISSING,1965.0,-999.0,раздельный,полностью меблирована
3590,1-комнатная квартира,2.0,32.0,4.0,MISSING,MISSING,1973.0,2.8,MISSING,частично меблирована
4045,3-комнатная квартира,4.0,62.0,5.0,MISSING,MISSING,1972.0,2.7,совмещенный,частично меблирована
4935,3-комнатная квартира,13.0,101.0,13.0,MISSING,MISSING,2015.0,2.8,MISSING,MISSING
432,1-комнатная квартира,5.0,32.0,5.0,MISSING,MISSING,1982.0,2.7,MISSING,MISSING
859,3-комнатная квартира,2.0,73.2,2.0,MISSING,MISSING,1970.0,2.8,совмещенный,MISSING
221,2-комнатная квартира,11.0,82.5,21.0,Каусар,монолитный,2013.0,3.0,совмещенный,MISSING
797,2-комнатная квартира,8.0,87.0,10.0,Ush Qońyr,монолитный,2016.0,2.75,раздельный,MISSING
1323,2-комнатная квартира,3.0,80.0,13.0,Atlant,монолитный,2017.0,-999.0,совмещенный,пустая
2251,2-комнатная квартира,5.0,65.0,5.0,MISSING,MISSING,1984.0,-999.0,раздельный,частично меблирована
3592,7-комнатная квартира,22.0,335.0,22.0,Жастар Mag,монолитный,2008.0,-999.0,2 с/у и более,MISSING
3888,2-комнатная квартира,6.0,52.0,9.0,MISSING,MISSING,1976.0,-999.0,раздельный,пустая
4443,4-комнатная квартира,7.0,115.0,9.0,MISSING,MISSING,1986.0,2.7,раздельный,полностью меблирована
1169,2-комнатная квартира,7.0,58.0,13.0,Atlant,монолитный,2018.0,-999.0,совмещенный,MISSING
4509,3-комнатная квартира,12.0,61.0,13.0,MISSING,MISSING,1998.0,-999.0,совмещенный,пустая
5162,4-комнатная квартира,11.0,122.2,13.0,MISSING,MISSING,2017.0,-999.0,раздельный,пустая
5630,2-комнатная квартира,3.0,43.0,4.0,MISSING,MISSING,1972.0,-999.0,совмещенный,частично меблирована
924,3-комнатная квартира,6.0,72.0,9.0,MISSING,MISSING,1984.0,-999.0,раздельный,частично меблирована
3580,3-комнатная квартира,6.0,120.0,21.0,AFD Plaza,монолитный,2015.0,3.0,2 с/у и более,пустая
1414,1-комнатная квартира,12.0,42.0,14.0,MISSING,MISSING,2017.0,-999.0,совмещенный,MISSING
4394,2-комнатная квартира,2.0,51.0,8.0,MISSING,MISSING,1965.0,2.8,раздельный,частично меблирована
1713,1-комнатная квартира,1.0,32.0,4.0,MISSING,MISSING,1980.0,3.0,совмещенный,полностью меблирована
