index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2740,2-комнатная квартира,3.0,78.9,3.0,MISSING,MISSING,-999.0,3.2,MISSING,MISSING
390,4-комнатная квартира,1.0,108.0,1.0,MISSING,MISSING,2010.0,2.7,совмещенный,полностью меблирована
1535,3-комнатная квартира,1.0,100.0,3.0,Esentai City,монолитный,2017.0,3.25,2 с/у и более,MISSING
1842,4-комнатная квартира,2.0,163.3,7.0,ile de France,монолитный,2015.0,3.3,2 с/у и более,MISSING
3693,2-комнатная квартира,6.0,72.0,10.0,Art Residence,монолитный,2019.0,MISSING,раздельный,полностью меблирована
3059,2-комнатная квартира,4.0,52.9,5.0,MISSING,кирпичный,1970.0,MISSING,совмещенный,полностью меблирована
948,1-комнатная квартира,1.0,45.0,3.0,MISSING,MISSING,2014.0,MISSING,совмещенный,MISSING
3698,2-комнатная квартира,1.0,44.0,4.0,MISSING,MISSING,1970.0,MISSING,раздельный,MISSING
256,3-комнатная квартира,7.0,200.0,9.0,Пионер,монолитный,2003.0,3.0,2 с/у и более,MISSING
381,2-комнатная квартира,2.0,54.0,9.0,MISSING,MISSING,1978.0,MISSING,MISSING,MISSING
1324,2-комнатная квартира,2.0,62.0,9.0,Vostochka.kz,панельный,2020.0,2.7,совмещенный,частично меблирована
2185,3-комнатная квартира,12.0,117.7,17.0,Тюркуаз Тауэрс,монолитный,2007.0,MISSING,2 с/у и более,полностью меблирована
348,2-комнатная квартира,5.0,63.0,5.0,MISSING,MISSING,1973.0,MISSING,совмещенный,MISSING
3651,1-комнатная квартира,9.0,25.0,9.0,Vostochka.kz,монолитный,2020.0,2.7,MISSING,MISSING
1825,1-комнатная квартира,3.0,31.0,3.0,MISSING,MISSING,1959.0,MISSING,совмещенный,MISSING
1273,3-комнатная квартира,2.0,123.0,3.0,Esentai City,монолитный,2017.0,3.25,2 с/у и более,пустая
2324,2-комнатная квартира,13.0,58.0,13.0,Восточный Парк,монолитный,2018.0,3.0,совмещенный,пустая
3141,2-комнатная квартира,6.0,78.0,6.0,Koktobe city,монолитный,2016.0,MISSING,совмещенный,MISSING
1458,3-комнатная квартира,3.0,67.0,3.0,MISSING,MISSING,1966.0,2.7,MISSING,MISSING
1303,4-комнатная квартира,3.0,110.0,5.0,MISSING,MISSING,1975.0,MISSING,2 с/у и более,MISSING
1911,1-комнатная квартира,6.0,43.0,10.0,City Park,монолитный,2017.0,2.8,совмещенный,MISSING
1814,1-комнатная квартира,4.0,34.0,5.0,MISSING,MISSING,1977.0,2.8,совмещенный,MISSING
294,3-комнатная квартира,3.0,93.0,5.0,MISSING,MISSING,1989.0,MISSING,раздельный,MISSING
