index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
2458,2-комнатная квартира,16.0,50.0,16.0,Алтын Булак 2,монолитный,2012.0,2.8,совмещенный,полностью меблирована,26285112.0,25000000.0
1191,2-комнатная квартира,4.0,41.6,5.0,MISSING,MISSING,1984.0,2.7,раздельный,MISSING,21052484.0,22000000.0
847,2-комнатная квартира,16.0,71.9,18.0,MISSING,MISSING,2012.0,2.8,совмещенный,частично меблирована,32976952.0,26000000.0
268,4-комнатная квартира,2.0,55.0,5.0,MISSING,MISSING,1981.0,2.7,совмещенный,пустая,25753392.0,27500000.0
2043,2-комнатная квартира,7.0,75.0,18.0,Алтын Булак 2,монолитный,2012.0,2.8,совмещенный,MISSING,30828740.0,35000000.0
4012,1-комнатная квартира,3.0,44.0,9.0,MISSING,MISSING,1985.0,-999.0,MISSING,MISSING,21626042.0,21000000.0
2838,2-комнатная квартира,8.0,72.0,13.0,Бакытты омир,монолитный,2017.0,2.7,совмещенный,полностью меблирована,42931790.0,41500000.0
802,3-комнатная квартира,5.0,84.0,5.0,MISSING,MISSING,1972.0,-999.0,раздельный,MISSING,42617590.0,40000000.0
828,1-комнатная квартира,2.0,30.6,4.0,MISSING,MISSING,1963.0,2.6,совмещенный,MISSING,17946812.0,19300000.0
1706,4-комнатная квартира,12.0,140.0,18.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,2 с/у и более,частично меблирована,64658268.0,54700000.0
