index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
8471,1-комнатная квартира,2.0,15.0,5.0,MISSING,MISSING,1975.0,MISSING,MISSING,MISSING,8031453.0,6200000.0
3578,2-комнатная квартира,18.0,47.1,25.0,Mega Tower Almaty,монолитный,2009.0,2.8,совмещенный,полностью меблирована,34111390.0,37100000.0
8726,3-комнатная квартира,10.0,85.0,12.0,Симфония,монолитный,2017.0,2.7,раздельный,полностью меблирована,52361376.0,50000000.0
2729,4-комнатная квартира,5.0,82.0,6.0,MISSING,MISSING,1978.0,2.8,раздельный,MISSING,41496040.0,46800000.0
5890,3-комнатная квартира,7.0,100.0,15.0,Gagarin Park,монолитный,2018.0,3,2 с/у и более,полностью меблирована,82395416.0,82000000.0
9045,3-комнатная квартира,9.0,79.0,9.0,MISSING,MISSING,1987.0,2.85,совмещенный,MISSING,43085420.0,38000000.0
151,3-комнатная квартира,8.0,85.0,17.0,4YOU,монолитный,2021.0,2.7,2 с/у и более,частично меблирована,58939788.0,59000000.0
2325,3-комнатная квартира,9.0,72.2,10.0,MISSING,MISSING,1990.0,MISSING,раздельный,MISSING,36130690.0,42000000.0
911,4-комнатная квартира,1.0,210.0,6.0,Баганашил Севен Старс,монолитный,2009.0,MISSING,2 с/у и более,MISSING,174686110.0,183000000.0
0,2-комнатная квартира,-999.0,57.4,-999.0,Rams city,MISSING,2023.0,2.7,совмещенный,MISSING,26050190.0,28700000.0
1858,3-комнатная квартира,12.0,100.0,14.0,Braun,монолитный,2017.0,2.85,раздельный,MISSING,64013704.0,70000000.0
8021,4-комнатная квартира,2.0,100.0,5.0,MISSING,MISSING,1980.0,MISSING,2 с/у и более,MISSING,53526852.0,60000000.0
5546,1-комнатная квартира,3.0,30.0,4.0,MISSING,MISSING,1963.0,MISSING,совмещенный,MISSING,16103889.0,16000000.0
3753,1-комнатная квартира,2.0,35.0,3.0,Mountain Drive,монолитный,2019.0,MISSING,совмещенный,полностью меблирована,37090628.0,31500000.0
7155,3-комнатная квартира,3.0,74.0,8.0,MISSING,MISSING,1977.0,MISSING,MISSING,MISSING,35653324.0,33800000.0
2270,2-комнатная квартира,4.0,44.0,5.0,MISSING,MISSING,1977.0,MISSING,совмещенный,MISSING,21636214.0,23500000.0
7431,2-комнатная квартира,8.0,56.0,9.0,MISSING,MISSING,1981.0,2.7,раздельный,MISSING,28051464.0,35000000.0
