index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
5081,2-комнатная квартира,4.0,52.0,12.0,Акварель,монолитный,2016.0,MISSING,MISSING,MISSING
908,3-комнатная квартира,4.0,72.0,9.0,MISSING,MISSING,1986.0,MISSING,раздельный,частично меблирована
2055,2-комнатная квартира,8.0,68.0,15.0,Дуэт,монолитный,2010.0,2.7,совмещенный,частично меблирована
2222,3-комнатная квартира,7.0,85.0,17.0,4YOU,монолитный,2020.0,2.7,2 с/у и более,пустая
2727,2-комнатная квартира,9.0,84.59,17.0,Riverside,MISSING,2022.0,3,MISSING,MISSING
3031,3-комнатная квартира,10.0,93.0,16.0,MISSING,MISSING,2015.0,3,MISSING,MISSING
1232,2-комнатная квартира,10.0,54.0,10.0,Gagarin Terrace,монолитный,2016.0,MISSING,совмещенный,MISSING
340,3-комнатная квартира,2.0,56.0,4.0,MISSING,кирпичный,1960.0,MISSING,совмещенный,MISSING
4995,2-комнатная квартира,15.0,52.2,16.0,Шахристан,монолитный,2016.0,3,совмещенный,полностью меблирована
3632,3-комнатная квартира,3.0,57.0,4.0,MISSING,панельный,1970.0,2.6,раздельный,частично меблирована
3664,4-комнатная квартира,1.0,73.8,4.0,MISSING,MISSING,1969.0,MISSING,совмещенный,полностью меблирована
8103,2-комнатная квартира,10.0,57.0,10.0,Комфорт,монолитный,2016.0,MISSING,совмещенный,полностью меблирована
4067,1-комнатная квартира,5.0,60.0,16.0,Арай,монолитный,2014.0,MISSING,совмещенный,MISSING
943,3-комнатная квартира,9.0,71.0,16.0,Riviera,монолитный,2017.0,3,MISSING,MISSING
1388,2-комнатная квартира,3.0,43.0,5.0,MISSING,MISSING,1974.0,MISSING,раздельный,MISSING
751,4-комнатная квартира,9.0,121.4,16.0,Riviera,монолитный,2021.0,MISSING,раздельный,MISSING
6018,2-комнатная квартира,1.0,59.23,16.0,Terra,монолитный,2021.0,2.85,совмещенный,пустая
6485,2-комнатная квартира,10.0,54.0,15.0,Арай,монолитный,2017.0,MISSING,совмещенный,полностью меблирована
344,3-комнатная квартира,10.0,111.0,17.0,R-House,монолитный,2020.0,2.85,совмещенный,частично меблирована
2980,2-комнатная квартира,3.0,38.0,4.0,MISSING,MISSING,1969.0,MISSING,совмещенный,пустая
1781,2-комнатная квартира,11.0,62.0,12.0,Акварель,монолитный,2017.0,MISSING,раздельный,частично меблирована
8062,1-комнатная квартира,10.0,40.0,12.0,Симфония,монолитный,2017.0,2.7,совмещенный,MISSING
3772,3-комнатная квартира,4.0,57.0,4.0,MISSING,MISSING,1970.0,MISSING,совмещенный,MISSING
7123,2-комнатная квартира,3.0,50.5,5.0,MISSING,MISSING,1982.0,MISSING,совмещенный,полностью меблирована
5220,3-комнатная квартира,17.0,110.0,25.0,Mega Tower Almaty,монолитный,2016.0,MISSING,MISSING,MISSING
127,1-комнатная квартира,1.0,30.0,4.0,MISSING,MISSING,1962.0,MISSING,совмещенный,MISSING
2229,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1972.0,2.6,раздельный,полностью меблирована
9450,2-комнатная квартира,2.0,53.0,5.0,MISSING,MISSING,1983.0,MISSING,раздельный,MISSING
3931,4-комнатная квартира,22.0,163.0,29.0,Нурлы Тау,MISSING,2010.0,MISSING,MISSING,MISSING
6288,3-комнатная квартира,14.0,92.0,17.0,R-House,монолитный,2020.0,3,2 с/у и более,частично меблирована
2287,3-комнатная квартира,3.0,85.0,12.0,Акварель,монолитный,2017.0,MISSING,2 с/у и более,частично меблирована
3894,2-комнатная квартира,5.0,50.4,5.0,MISSING,MISSING,1986.0,MISSING,раздельный,полностью меблирована
9296,2-комнатная квартира,2.0,45.0,4.0,MISSING,MISSING,1969.0,MISSING,раздельный,пустая
5031,3-комнатная квартира,1.0,70.1,8.0,MISSING,MISSING,1976.0,MISSING,раздельный,частично меблирована
