index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1376,2-комнатная квартира,6.0,44.1,6.0,MISSING,кирпичный,2013,3.0,совмещенный,частично меблирована
226,3-комнатная квартира,1.0,130.0,16.0,MISSING,MISSING,2012,2.8,2 с/у и более,MISSING
1471,4-комнатная квартира,5.0,85.0,5.0,MISSING,MISSING,1991,-999.0,раздельный,частично меблирована
262,3-комнатная квартира,9.0,84.0,10.0,Хан-Тенгри,монолитный,2011,2.9,2 с/у и более,частично меблирована
560,2-комнатная квартира,1.0,110.0,16.0,MISSING,MISSING,2012,3.0,совмещенный,частично меблирована
1790,1-комнатная квартира,5.0,45.0,16.0,Премьера,монолитный,2013,3.0,совмещенный,MISSING
1392,2-комнатная квартира,5.0,92.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
93,1-комнатная квартира,7.0,41.0,9.0,Alma City,монолитный,2019,2.8,совмещенный,MISSING
5,2-комнатная квартира,-999.0,57.81,-999.0,Lancashire,MISSING,"3 этажа, 2022",3.2,совмещенный,MISSING
1367,4-комнатная квартира,2.0,163.0,3.0,Алгабас (КГ),кирпичный,2007,-999.0,раздельный,MISSING
165,2-комнатная квартира,9.0,110.2,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
1542,3-комнатная квартира,8.0,83.0,16.0,Gulder,монолитный,2022,2.7,MISSING,MISSING
1528,2-комнатная квартира,4.0,64.0,10.0,Хан-Тенгри,монолитный,2013,-999.0,MISSING,MISSING
28,1-комнатная квартира,-999.0,57.17,-999.0,Felicita,MISSING,"3 этажа, 2021",3.0,2 с/у и более,MISSING
1791,1-комнатная квартира,1.0,37.0,12.0,MISSING,MISSING,2019,2.7,совмещенный,частично меблирована
1630,2-комнатная квартира,6.0,62.0,9.0,Шугыла,монолитный,2017,2.9,раздельный,MISSING
1319,1-комнатная квартира,2.0,35.0,3.0,MISSING,MISSING,1986,2.8,совмещенный,MISSING
1834,1-комнатная квартира,9.0,31.5,10.0,Nurly Dala,монолитный,2021,2.75,совмещенный,MISSING
1628,4-комнатная квартира,5.0,150.0,5.0,MISSING,MISSING,MISSING,-999.0,MISSING,MISSING
968,1-комнатная квартира,9.0,28.0,10.0,MISSING,MISSING,2017,-999.0,совмещенный,частично меблирована
796,4-комнатная квартира,2.0,112.0,9.0,Хан-Тенгри,монолитный,2011,2.85,2 с/у и более,MISSING
1686,3-комнатная квартира,6.0,77.5,10.0,Alma City,MISSING,2020,2.7,совмещенный,полностью меблирована
788,1-комнатная квартира,2.0,18.0,4.0,MISSING,MISSING,1975,-999.0,MISSING,MISSING
248,2-комнатная квартира,7.0,61.0,9.0,Nurly Dala,монолитный,2021,2.7,совмещенный,пустая
